Rank,Country,GDP (millions USD)
Eritrea,"2,275",—N/a
San Marino,"1,987","2,241"
Seychelles,"2,141","2,230"
Timor-Leste,"2,080","2,125"
Solomon Islands,"1,633","1,904"
Turks and Caicos Islands,"1,402",—N/a
Sint Maarten,"1,677",—N/a
Comoros,"1,448","1,613"
British Virgin Islands,"1,506",—N/a
Grenada,"1,317","1,458"
Samoa,"1,032","1,248"
Saint Vincent and the Grenadines,"1,091","1,238"
Saint Kitts and Nevis,"1,058","1,141"
Vanuatu,"1,119","1,119"
Northern Mariana Islands,—N/a,—N/a
São Tomé and Príncipe,684,976
American Samoa,—N/a,—N/a
Dominica,651,748
Saint Martin,—N/a,—N/a
Tonga,508,587
Micronesia,460,495
Anguilla,416,—N/a
Cook Islands,366,—N/a
Palau,282,341
Kiribati,289,321
Marshall Islands,270,302
Nauru,176,172
Montserrat,80,—N/a
Tuvalu,68,58
